start_date,country_name,iso3c,duration,geo_scope,shutdown_extent
2018-03-29T00:00:00Z,India,IND,NA,local,NA
2018-03-30T00:00:00Z,India,IND,1,local,full network
2018-03-30T00:00:00Z,India,IND,NA,local,full network
2018-03-31T00:00:00Z,Sierra Leone,SLE,1,national,full network
2018-03-31T00:00:00Z,India,IND,NA,local,full network
2018-04-01T00:00:00Z,India,IND,1,regional,full network
2018-04-01T00:00:00Z,India,IND,1,regional,NA
2018-04-02T00:00:00Z,India,IND,NA,regional,full network
2018-04-02T00:00:00Z,India,IND,12,regional,NA
2018-04-03T00:00:00Z,India,IND,NA,regional,NA
2018-04-09T00:00:00Z,India,IND,NA,regional,full network
2018-04-09T00:00:00Z,India,IND,1,local,NA
2018-04-10T00:00:00Z,India,IND,NA,local,full network
2018-04-10T00:00:00Z,India,IND,1,regional,full network
2018-04-11T00:00:00Z,India,IND,NA,regional,NA
2018-04-13T00:00:00Z,Yemen,YEM,1,local,full network
2018-04-13T00:00:00Z,Russia,RUS,NA,national,service-based
2018-04-14T00:00:00Z,India,IND,2,regional,full network
2018-04-14T00:00:00Z,India,IND,0,local,NA
2018-04-14T00:00:00Z,India,IND,1,local,NA
2018-04-17T00:00:00Z,India,IND,NA,regional,NA
2018-04-20T00:00:00Z,India,IND,NA,regional,NA
2018-04-20T00:00:00Z,India,IND,NA,local,NA
2018-04-24T00:00:00Z,India,IND,NA,local,NA
2018-04-26T00:00:00Z,Iraq,IRQ,NA,national,service-based
2018-04-27T00:00:00Z,Indonesia,IDN,NA,national,service-based
2018-04-28T00:00:00Z,Turkey,TUR,NA,national,service-based
2018-04-29T00:00:00Z,India,IND,1,regional,NA
2018-04-30T00:00:00Z,Côte d’Ivoire,CIV,20,national,full network
2018-04-30T00:00:00Z,India,IND,NA,regional,NA
2018-05-04T00:00:00Z,India,IND,1,local,full network
2018-05-05T00:00:00Z,India,IND,NA,regional,NA
2018-05-09T00:00:00Z,India,IND,NA,local,full network
2018-05-11T00:00:00Z,Iraq,IRQ,0,national,full network
